"key","EN","FR"
"1_dialogue_foulcques2","the Church of Notre-Dame-la-Fleurie ? It saw the light of day","qui entoure l'Eglise Notre-Dame-la-Fleurie ? Elle a vu le jour"
"1_dialogue_foulcques3","in a strange manner. The first Saint Sauveur's abbot witnessed","d'une bien etrange facon. En effet, le premier abbe de Saint"
"1_dialogue_foulcques4","a miracle. In the middle of winter, a tree on a hill suddenly","Sauveur aurait assiste a un miracle. En plein hiver, un arbre de"
"1_dialogue_foulcques5","became covered in flowers, indicating the location of","la colline se serait soudainement couvert de fleurs, indiquant"
"1_dialogue_foulcques6","the future building. That's why it's called Notre-Dame-la-Fleurie.","l'emplacement du futur edifice. D'ou son nom : Notre-Dame-la-Fleurie."
"clothilde_name","Clothilde - Cooker","Clothilde - Cuisiniere"
"0_dialogue_clothilde1","I heard the news, it's terrible ! The two brothers fighting over","J'ai entendu la nouvelle, c'est tout de meme terrible ! Les deux freres"
"0_dialogue_clothilde2","the Balene Palace are both dead... That's horrible to come to","qui se disputaient le Palais Balene sont tous les deux decedes... C'est"
"0_dialogue_clothilde3","such lengths. But the worst in all of this is that the Palace","affreux d'en arriver a de tels extremes. Mais le pire dans tout cela  c'est"
"0_dialogue_clothilde4","now belongs to duke Edward III. But I heard that it's not going","que le palais est desormais entre les mains du duc Edouard III. Mais j'ai"
"0_dialogue_clothilde5","to stay in his possesion for much longer.","entendu dire qu'il ne resterai pas longtemps en sa possession."
"1_dialogue_clothilde1","Damn, my fears have been confirmed... The good duke offered","Diantre, voila que mes craintes se sont confirmees... Le bon duc a offert"
"1_dialogue_clothilde2","the Palace to pay back the debts he had with the Armagnac's count.","le Palais pour rembourser les dettes qu'il avait envers le comte d'Armagnac."
"1_dialogue_clothilde3","Such a sad story...","C'est une bien triste histoire..."
"herbert_name","Herbert - Goldsmith","Herbert - Orfevre"
"0_dialogue_herbert1","Personally, I'm really happy to live somewhat close to the Church","Personnellement, je suis bien heureux de me trouver aux abords de"
"0_dialogue_herbert2","of Notre-Dame-la-Fleurie, the people gathering there are often","l'Eglise Notre-Dame-la-Fleurie, les habitants qui viennent s'y retrouver"
"0_dialogue_herbert3","fortunate, and considering my job, it can only means it's good","sont souvent fortunes, et au vu de mon metier, cela ne peut qu'etre bon "
"0_dialogue_herbert4","for business !","pour les affaires !"
"1_dialogue_herbert1","It's by selling a pin to a lady from the country next door that I","C'est en vendant une broche a une dame de la contree d'a cote que j'ai"
"1_dialogue_herbert2","realized how important our town's buildings are. Without this","pris conscience de l'importance des edifices dans notre ville. Sans cette"
"1_dialogue_herbert3","Church and this Abbey, no one would come to a small town like","Eglise et cette Abbatiale, personne ne se deplacerait pour une petite ville"
"1_dialogue_herbert4","ours... Would it even exist ?","comme la notre...Existerait-elle au moins ?"
"constance_name","Constance - Babyminder","Constance - Nourrice"
"0_dialogue_constance1","Did you know the construction of the Saint Sauveur's Abbey is due","Saviez-vous que la construction de l'Abbatiale Saint Sauveur est due a"
"0_dialogue_constance2","to the extension of the Saint Foy de Conques' Abbey ? We were","l'extension de l'Abbaye de Saint Foy de Conques ? Nous etions en effet"
"0_dialogue_constance3","indeed tied to another building but it's only when the monks ","rattaches fut un temps a une autre entite, mais ce n'est que lorsque les"
"0_dialogue_constance4","became fade up of being under the orders of the other abbey that","moines n'en purent plus d'etre sous la coupe de l'autre abbaye qu'ils s'en"
"0_dialogue_constance5","they decided to split up. It's only after several years and many","sont detaches. Ce n'est qu'a la suite de plusieurs annees et de nombreuses"
"0_dialogue_constance6","trickeries that both of the abbeys managed to dissociate.","fourberies que les deux abbayes sont finalement parvenues a se dissocier."
"1_dialogue_constance1","It might seem crazy, but it's Pepin the First who decided where the","Cela semble fou, mais cest Pepin Premier qui aurait decide de l'endroit "
"1_dialogue_constance2","Saint Sauveur's Abbey would be built. The rumor says that he took","ou eriger l'Abbatiale Saint Sauveur. Le bruit court qu'il aurait pris sa décision"
"1_dialogue_constance3","his decision after witnessing a dove drop a laurel branch from its beak.","apres avoir observe une colombe lacher un rameau de laurier de son bec."
"hildebert_name","Hildebert - Doctor","Hildebert - Medecin"
"0_dialogue_hildebert1","I heard of a very strange project ! Do you know the Commandery ?","J'ai ouie l'idee d'un projet saugrenue ! Connaissez-vous la Commanderie ?"
"0_dialogue_hildebert2","It's an establishment founded by the Templars, several centuries ago...","Un etablissement fonde par les Templiers il y a quelques siecles de cela..."
"0_dialogue_hildebert3","Well, apparently using it for millitary means is out of the question now !","Eh bien figurez-vous qu'il n'est plus question de l'employer a des fins "
"0_dialogue_hildebert4","But at what end could they use a building as big ","millitaires ! Mais que pourraient-ils bien faire d'un batiment d'une"
"0_dialogue_hildebert5","as this one ?","telle envergure ?"
"1_dialogue_hildebert1","I've been gatheing some intel and you're not going to believe it ! ","Je suis alle a la peche aux informations et vous n'allez pas en croire vos"
"1_dialogue_hildebert2","The Commandery, no longer under millitary authority, now houses","oreilles ! La Commanderie, qui n'est plus sous tutelle millitaire, acceuille"
"1_dialogue_hildebert3","pilgrims on their way to Saint Jacques of Compostelle. It, sort of, ","desormais des pelerins en route vers Saint Jacques de Compostelle. C'est"
"1_dialogue_hildebert4","became an hospice. Funny, don't you think ?","en quelques sortes devenu un hospice. Amusant, vous ne trouvez pas ?"
"genievre_name","Genievre - Farmer","Genievre - Paysanne"
"0_genievre_special1","I've heard a strange disease was spreading all around Crimea. The","J'ai entendu dire qu'une etrange maladie se rependait en Crimee. Les"
"0_genievre_special2","travellers coming to our town are afraid it comes all the way here...","voyageurs de passage ont peur qu'elle arrive jusqu'a nous... Les idiots ! "
"0_genievre_special3","Idiots ! How a disease from a country so far away would end","Comment une maladie d'une contree si lointaine pourrait bien venir"
"0_genievre_special4","up here ?","jusqu'ici ?"
"1_genievre_special1","Apparently there's been a disease striking Marseille lately. The scholars","Il parait qu'une epidemie frappe Marseille en ce moment. Les erudits "
"1_genievre_special2","call it 'Plague' and thinks it came all the way from Crimea... I don't","l'appellent 'Peste' et pensent qu'elle est venue tout droit de Crimee..."
"1_genievre_special3","believe it for a second ! It's only a vain attempt for the King to have","Je n'y crois pas une seule seconde ! Ce n'est qu'une vaine tentative du Roi"
"1_genievre_special4","an even stronger hold on his subjects, I'm telling you !","pour asseoir encore plus son pouvoir sur ses sujets, c'est moi qui vous le dit !"
"2_genievre_special1","Look at all those fools, fleing town because of this so-called 'Plague' !","Regardez ces idiots fuyant la ville a cause de cette soi-disante 'Peste' !"
"2_genievre_special2","This disease doesn't exist, I already told you, it's only rumors !","Cette maladie n'existe pas, je vous l'ai deja dit, ce ne sont que des rumeurs !"
"2_genievre_special3","...Oh, you're leaving too ? You're exactly like the others,","... Oh vous partez, vous aussi ? Vous etes comme tous les autres, "
"2_genievre_special4"," how disapointing... In that case, sell me your house !","comme c'est decevant... Dans ce cas, vendez-moi votre maison !"
"2_genievre_special5","I'm about to become rich... Hahaha !","A moi la richesse... Hahaha !"
"easterEgg_name","Kaif","Kaif"
"0_dialogue_easteregg","You found an Easter Egg !","Vous avez trouve un Easter Egg !"
"seller_name","Seller","Grossiste"
"seller_default","What would you like to buy ?","Que souhaitez-vous acheter ?"
"tut_dialogue_seller1","You can buy merchandise from me and","Vous pouvez m'acheter des marchandises"
"tut_dialogue_seller2","sell them to your clients at an higher price !","pour les revendre plus cheres a vos clients !"
"tut_dialogue_seller3","Then, once you have enough money, you will be able","Puis, lorsque vous possedez assez d'argent, vous pourrez"
"tut_dialogue_seller4","to make your house bigger !","agrandir votre maison ! "
"tut_dialogue_seller5","Wealth is everything in the city of Figeac, so get to work !","La richesse fait tout dans la ville de Figeac, alors au boulot !"
"item_searchedText","I would like to buy :","Je souhaiterai acheter :"
"item_egg","Egg","Oeuf"
"item_meat","Meat","Viande"
"item_bread","Bread","Pain"
"item_beer","Beer","Biere"
"item_book","Book","Livre"
"item_jewel","Jewel","Bijou"
"item_animalSkin","Animal skin","Peau de bete"
"item_dye","Dye","Teintures"
"item_fish","Fish","Poisson"
"item_milk","Milk","Lait"
"item_house","House","Maison"
"item_perfume","Perfume","Parfum"
"item_wine","Wine","Vin"
"item_wool","Wool","Laine"
"item_spices","Spices","Epices"
"sell_text","Sell","Vendre"
"upgrade_text","Upgrade","Ameliorer"
"ad_text","Would you like to watch an ad to speed up in-game time ?","Souhaitez-vous regarder une publicite pour accelerer le temps en jeu ?"
"ad_yes","Yes","Oui"
"ad_no","No","Non"
"close_seller","Close","Fermer"
